,0
0,1436.5333301996372
1,1413.6008730099197
2,1399.359395339952
3,1383.6909023211094
4,1368.2042234881878
5,1350.3197756370778
6,1338.4113007723322
7,1325.8170558578247
8,1311.2605360206355
9,1295.1485528747912
10,1287.1990370727613
11,1274.185111773689
12,1266.517085996407
13,1260.670015811189
14,1255.6741992376642
15,1252.600258891458
16,1246.8933285414587
17,1242.4916757298397
18,1239.290697759801
19,1238.4167244069647
20,1234.2819572175338
21,1231.1507057722556
22,1229.8348052794076
23,1227.0731824403413
24,1225.4897676237026
25,1223.353339673545
26,1222.4169216262203
27,1220.402304109379
28,1219.3295364661649
29,1218.7123936425653
30,1214.8858599447947
31,1214.7838184614316
32,1213.8392910492494
33,1210.8783055561903
34,1209.443076516858
35,1209.271568963141
36,1208.3239498708913
37,1207.1799619560195
38,1203.4794188846192
39,1203.4255900961048
40,1202.1253922611832
41,1200.8824626978617
42,1200.1639511118924
43,1199.8239144099857
44,1199.803448010384
45,1199.5966999430204
46,1197.3444751081597
47,1197.2097931754301
48,1195.7545058812234
49,1195.2438512507458
50,1195.540201029529
51,1194.1931579132558
52,1194.2418252991401
53,1193.703554928347
54,1194.0911838224526
55,1192.382297985316
56,1192.9744586405398
57,1191.2882425938337
58,1190.7072223395778
59,1190.745300370241
60,1191.1399913072098
61,1188.709598748944
62,1189.3539122555653
63,1188.1798980967178
64,1187.304098976709
65,1187.2487396291376
66,1185.6034721477524
67,1187.9539498120753
68,1186.708017987007
69,1186.2167305106138
70,1185.80820544868
71,1186.653753983214
72,1185.8128391620812
73,1184.8409928220492
74,1182.6239402487147
